#hydrogen_weight_percent	atomic_number	period	en_pauling	covalent_radius_bragg	electron_affinity	atomic_volume	atomic_weight	fusion_heat	ion_eng	std(atomic_number)	std(period)	std(en_pauling)	std(covalent_radius_bragg)	std(electron_affinity)	std(atomic_volume)	std(atomic_weight)	std(fusion_heat)	std(ion_eng)	min(atomic_number)	min(period)	min(en_pauling)	min(covalent_radius_bragg)	min(electron_affinity)	min(atomic_volume)	min(atomic_weight)	min(fusion_heat)	min(ion_eng)	max(atomic_number)	max(period)	max(en_pauling)	max(covalent_radius_bragg)	max(electron_affinity)	max(atomic_volume)	max(atomic_weight)	max(fusion_heat)	max(ion_eng)
2.9	-1.37993614189531	-1.89131086251812	0.668501481435473	-0.00808697200375202	0.180896945657944	-0.305594334287683	-1.31750899426965	-0.528528735922194	0.989659028891575	0.674916452524648	1.05050942361735	0.282646649621993	1.03501712250254	0.142514970488715	0.160724383308139	0.601112849072279	0.385466604552845	0.98034130832403	-1.71481604243894	-2.53461387698006	0.144983285465902	-0.720837046910702	0.0382722346042691	-0.545322326180184	-1.60996035320507	-0.799935749787215	-0.60707110756022	-0.121249619162349	0.0385981808677164	0.836496126410783	1.70525455421488	0.383478010370472	-0.192190074649914	-0.198357650803792	0.0577761335203946	1.66913575681552
3.3	-1.42612647300477	-1.99852803159511	0.752498803923128	-0.316488446723105	0.170762100401313	-0.38311116998945	-1.35311281347859	-0.373290592587132	1.10488718857689	0.720776399813784	1.09340487463151	0.129928536372936	1.14367054862375	0.165896966193156	0.336261906735204	0.637113284689113	0.694910559711376	0.802817303104017	-1.71481604243894	-2.53461387698006	0.520041097503803	-0.720837046910702	-0.0225368369355172	-1.01042334039078	-1.60996035320507	-0.799935749787215	-0.131517746352414	-0.121249619162349	0.0385981808677164	0.836496126410783	1.70525455421488	0.383478010370472	-0.192190074649914	-0.198357650803792	0.902223310105678	1.66913575681552
16.9	-1.66285191994079	-2.33358168496071	0.758114903973175	-0.605186493890945	0.12259725066978	-0.367679577696969	-1.56423828701232	-0.432610288564641	1.22971572036756	0.172828393593269	0.525254711808677	0.291996367261982	0.872291096407946	0.0785281252603081	0.33508324300016	0.141469206578811	0.695935040666443	0.952821535977505	-1.71481604243894	-2.53461387698006	0.144983285465902	-0.720837046910702	-0.0225368369355172	-1.01042334039078	-1.60996035320507	-0.799935749787215	-0.60707110756022	-1.29910306245374	-1.24800784805617	0.836496126410783	1.12957180140542	0.16590785724323	-0.192190074649914	-1.26685490199383	0.902223310105678	1.66913575681552
3.9	-1.1732951869319	-1.04485952769977	-0.258450611035394	1.32363027321713	-0.127587486617381	0.0258543579380966	-1.14505368259066	-0.153307048230063	-0.18721285185379	0.762140463306195	0.964954521692917	0.246131689149873	0.466028895131467	0.0287191569493357	1.07662271808009	0.74649944802086	0.055813246864435	0.363971538318417	-1.33374581078584	-1.24800784805617	-0.698896791619378	1.22551892687366	-0.133633624922504	-0.200803056394554	-1.30221146112137	-0.253183384724315	-0.838530341476221	0.190535115826549	0.681901195329661	-0.206633413319631	2.1575767171366	-0.0761953110238329	1.95244237976563	0.190787434920349	-0.141556890995445	-0.110587264839386
2	-1.24906353708515	-1.67687652436414	0.37939441798959	0.135072231075849	0.078824766276579	0.28343791724858	-1.17559985672346	-0.605282017685263	0.914129621455699	0.823205786408646	1.32186203683379	0.640127928447851	1.19918023379552	0.129802501057276	1.01302563619703	0.786444013730944	0.287684500124709	1.05333884055278	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.133633624922504	-0.200803056394554	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.190535115826549	0.681901195329661	0.836496126410783	2.1575767171366	0.16590785724323	1.95244237976563	0.190787434920349	-0.141556890995445	1.66913575681552
1.3	-1.00271510450133	-1.46244218621015	0.495297700181859	-0.0811895437890802	0.127367418505822	0.23013313022897	-0.93206237255054	-0.424070177216318	0.940441684784812	1.09853873186211	1.5162797462793	0.723791162749952	1.35689726107903	0.156863637062162	1.14360874008729	1.05298513290759	0.976170941016467	1.0327804975663	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.0761953110238329	-0.680546139571043	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.883390082468544	0.681901195329661	0.836496126410783	2.1575767171366	0.303250245140686	1.95244237976563	0.889625896434878	1.48934967322506	1.66913575681552
1.3	-0.995016715983087	-1.46244218621015	0.495297700181859	-0.0811895437890802	0.172732733498243	0.23654501663887	-0.924937882882465	-0.50412554140571	0.957737324491043	1.1218403864121	1.5162797462793	0.723791162749952	1.35689726107903	0.32945243790901	1.12630082914611	1.07483283728049	0.650178295889747	1.0256805885692	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.0761953110238329	-0.62283916188195	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.952675579132743	0.681901195329661	0.836496126410783	2.1575767171366	0.711538080072468	1.95244237976563	0.953746303447553	0.768851395520535	1.66913575681552
1.6	-1.12588932079324	-1.53392029892815	0.495297700181859	-0.0811895437890802	0.125160934313584	0.228889032865856	-1.06292753505684	-0.474004106589983	0.904636787011866	0.818005855739841	1.38969334241066	0.723791162749952	1.35689726107903	0.149710607769043	1.14701147489719	0.761521755819247	0.771454327217054	1.06353820293391	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.0761953110238329	-0.691743015839076	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.190535115826549	0.681901195329661	0.836496126410783	2.1575767171366	0.283391887410541	1.95244237976563	0.190787434920349	1.03994430886208	1.66913575681552
1.5	-1.06883067648155	-1.58858003218309	0.565544434993696	-0.212881676784708	0.161013005690487	0.12993544259965	-0.995024374392505	-0.469000291010812	1.06368822617779	1.11013058045314	1.5162797462793	0.723791162749952	1.35689726107903	0.230870480818711	1.14074065087195	1.06187888522971	0.840727259340305	1.02561044818425	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.0761953110238329	-0.671071859651939	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.918032830800643	0.681901195329661	0.836496126410783	2.1575767171366	0.487456371445511	1.95244237976563	0.915873784513614	1.19288710221787	1.66913575681552
4.8	-1.51640757471873	-2.12523923141337	0.662818787313687	-0.459163068360948	0.109635806640998	-0.145993172565022	-1.42271372956501	-0.44074752389188	1.15301376492284	0.867376447026752	1.38969334241066	0.683888871593493	1.35689726107903	0.103818526868633	1.2493343702137	0.820066790414059	0.709557627785346	1.03557350303287	-1.71481604243894	-2.53461387698006	-0.698896791619378	-0.720837046910702	-0.0761953110238329	-1.01042334039078	-1.60996035320507	-0.799935749787215	-0.838530341476221	0.190535115826549	0.681901195329661	0.836496126410783	2.1575767171366	0.16590785724323	1.95244237976563	0.190787434920349	0.902223310105678	1.66913575681552
